PlantingDepth,SoilAcidity,WaterVapor,LiquidWater,CO2,HeatPad,RedLight,BlueLight,UVLight,PlantGrowth
2.894793451,2.619508386,43.65833402,59.77954268,27.48436213,25.74014127,46.87359929,64.7697866,28.76287103,45.29292517
3.149936795,6.936742544,71.98331356,3.026425838,30.41969299,48.80190015,86.80040836,36.34670973,83.63747597,36.65299761
0.697189867,13.62383401,50.67414641,31.82459474,10.32219648,12.42607176,82.83419013,36.99069619,89.80833888,42.19705182
0.304881334,10.77117777,17.3543334,13.56363297,21.98919773,80.00021219,41.04021788,32.68446922,52.66171694,33.38416699
3.170954883,5.328292012,27.8057158,32.69588351,20.36465883,91.31282508,46.2500155,21.47595286,38.75368237,38.11503303
4.192790389,6.784512758,8.725738525,76.00103617,22.608881,57.14488387,34.88698006,21.23309374,0.271487236,46.05592284
3.204615414,7.65816009,97.89316058,62.72986531,11.2643981,54.71401513,24.92701411,42.31689572,25.08696914,44.22947695
2.12464571,9.435289383,28.35842371,96.36051655,16.63329601,43.68569851,80.70412874,61.74981594,16.28383398,50.35798598
1.989952028,0.534687638,61.81004643,82.76714683,14.02025461,91.10841691,54.43113446,24.14807677,64.51330781,67.63980381
3.447468877,9.069134474,30.66294193,55.40150404,38.87842178,27.70195603,53.82506847,68.61222982,98.11468124,62.73237929
2.055570185,12.59286916,85.23096442,60.68568826,20.74679136,5.71125567,62.66841292,58.99296403,31.19117618,46.56417063
4.476810694,4.76543951,31.89677,19.02136803,23.31306934,115.1886058,8.812940121,60.28118134,24.06984568,24.27445841
0.913955867,1.641405225,79.53973413,90.19963145,18.60007524,5.615808368,71.10567689,7.875269651,87.85937428,52.41777339
0.187420249,5.957477808,17.43969917,31.85893297,1.28153801,59.63144183,25.79851151,4.466784,12.96417713,26.18875567
2.549827397,10.80235088,30.00323176,60.04875302,15.10970831,96.06781781,5.756872892,15.32090306,56.97960258,52.13802276
2.101705074,5.013459206,7.272350788,59.72611904,5.507521629,98.18386078,27.52119303,24.62255955,60.69382429,52.51974732
1.966274679,5.767951608,49.33584332,76.70354247,26.16710901,106.9352192,96.06001973,39.87554908,61.019665,67.40964544
1.499457955,10.46602225,45.28281689,71.49270773,6.129264832,27.25768209,32.69817829,58.39270353,69.38662529,56.87011913
1.456731856,6.572744727,66.27691388,46.15405202,28.87011766,8.448496461,37.84540296,31.49817586,79.30286527,45.90445754
3.101938963,3.124640942,54.61585522,31.83014393,18.86984825,83.42707872,66.66820049,8.805584908,65.04971981,42.36655345
