PlantingDepth,SoilAcidity,WaterVapor,LiquidWater,CO2,HeatPad,RedLight,BlueLight,UVLight,PlantGrowth
4.362734258,11.06180441,96.04228139,67.24275947,35.46400309,26.34037912,39.89322782,94.4971025,51.72558427,55.82029592
3.753438592,4.161612272,11.46233082,72.18950987,14.82061386,124.3791163,90.30988216,12.1549964,96.53644562,57.97920152
1.364711821,3.293951392,92.34451652,99.67713952,12.09990263,8.560634255,74.6006906,64.59513307,55.7501018,47.91319376
3.368233442,6.726645947,62.02095747,33.98060799,11.71467304,7.997891903,8.855950832,34.78326797,90.92041254,37.92182799
1.283144653,3.564426541,34.77264047,49.52113032,6.012451649,103.1156844,63.4571135,10.44322848,65.72564244,45.4720509
0.449482799,4.768491983,14.9245739,41.29678011,21.1928463,49.34861064,71.30279541,18.54025126,44.11146641,41.21097174
0.154753029,0.629073977,47.99782634,69.52818036,8.930470943,60.26592076,1.568239927,7.768470049,69.2994535,54.56299652
1.613588333,6.753993034,21.94091082,17.90893078,23.38117123,15.5407238,43.11443567,43.27595234,6.449115276,17.47146418
1.989952028,2.884240746,99.37313199,42.29182601,14.53834772,15.01111448,40.19826055,95.92708945,75.6092608,46.07229269
3.447468877,12.10348296,13.04204464,54.31770086,35.03898621,22.59054303,27.5295496,54.20292616,70.05143166,51.61820029
2.055570185,8.240800261,2.888578176,81.46639466,19.12056684,6.255455613,98.53739142,49.4376719,49.70709682,56.84017641
4.476810694,10.56871653,34.53916311,54.09135818,7.625336647,92.92612314,80.25873899,97.2966671,15.54356813,50.17056252
0.913955867,12.99036324,54.76685166,42.75333285,27.36249208,69.29290473,69.61007714,21.77998424,22.37375379,38.84120819
0.187420249,4.634236574,92.29545593,50.90681314,29.89663124,72.93120742,41.75992012,37.89912462,32.614398,45.12058102
2.549827397,7.601176143,53.82463336,22.77815938,24.55739737,28.17535698,73.44881892,39.58442807,78.44886184,38.61511475
2.101705074,1.129678726,40.64213037,61.91875935,31.28554821,60.84073544,27.71683931,28.15034389,5.02628088,41.40064574
1.966274679,8.881207108,84.72455144,48.98304343,6.46974802,97.02611864,35.65862775,50.33711791,51.80159211,48.48176066
